koi_pdisposition,koi_fpflag_nt,koi_period,koi_time0bk,koi_duration,koi_depth,koi_prad,koi_insol,koi_model_snr,koi_slogg,koi_srad
1e-10,1e-10,0.0004693586785465221,-3.232989485421779,-2.905138560373484,-5.706647580577458,0.00019860659021452495,1.4095471901946358e-06,-4.6648647737889934,-0.1995846240956458,0.004273299809746343
1.0000000001,1e-10,0.00029336175737617156,-3.2522613068662825,-3.2195114584574704,-7.663133842152756,1.3676445393008252e-05,1.6927154526446275e-06,-5.5642995258547,-0.2071909763144855,0.004033960212968289
1.0000000001,1e-10,0.0003150525514962738,-3.4141226549100314,-3.409586987665491,-6.545690637572112,1.886746700203328e-05,8.002787029232021e-07,-5.175299689171328,-0.18070540989199302,0.0032158539548905784
1.0000000001,1e-10,4.6241069991636435e-05,-3.28173712954637,-4.002603897533809,-7.3042107321071645,1.2827913014609931e-05,9.892720265591642e-06,-5.258766218654962,-0.18070540989199302,0.0032158539548905784
1.0000000001,1e-10,0.00012132150890106143,-3.1867670239217456,-3.766570929199213,-7.225422559383196,1.5074028133899609e-05,2.677410249164275e-06,-5.608489335706114,-0.17755580098947374,0.003120118116179357
1.0000000001,1e-10,0.0002491388399419324,-2.910890379998784,-3.373671169700465,-6.749996505616708,1.6371783536155862e-05,1.4205085422894742e-06,-4.729012592909494,-0.16394711355952218,0.002998272503274166
1.0000000001,1e-10,0.0007041123032335666,-2.9144858344793025,-3.071209808305719,-7.768156853988362,1.0182488540779867e-05,3.581708350980539e-07,-6.161350856442361,-0.16394711355952218,0.002998272503274166
1.0000000001,1e-10,3.6289628278649386e-05,-3.263063257558699,-4.153575714097008,-5.057859911131175,6.054538088218617e-05,3.191590351613776e-05,-2.564971444381861,-0.20950740079219843,0.0042341351484553895
1e-10,1e-10,1.8919559253225692e-05,-3.293730908039134,-3.727601183005011,-7.490804075783238,3.2244330379136244e-05,4.8212693743138726e-05,-5.233607659496433,-0.18454331955782846,0.0034856549548949304
1.0000000001,1e-10,3.274678253027677e-05,-3.280796552551567,-3.6267302697794777,-8.116974827755989,1.0082661202144771e-05,3.558978335992443e-05,-5.726648944862078,-0.18048010855052415,0.0037424010678022966
1e-10,1e-10,0.0001493080491419412,-3.1337404696640756,-3.28224044229621,-4.87523234380117,6.159356793785467e-05,6.122928590975142e-06,-2.8699839687010362,-0.20211365176816845,0.004151454196841152
1.0000000001,1e-10,3.977347622445814e-05,-4.673493720453213,-3.867729481223667,-7.848608623473678,1.4275409424818833e-05,3.0845344794875214e-05,-3.994843443713268,-0.21415640962986773,0.00425589329361703
1.0000000001,1e-10,0.0003169167047312035,-2.727290720039264,-2.574951700080941,-6.313294228040599,2.7053308770111215e-05,1.5273817252141482e-06,-4.161570373625761,-0.2076538321431038,0.0040774765032915725
1.0000000001,1e-10,6.240264781682136e-05,-3.2752345847735924,-4.142599077083105,-7.299688232887865,1.2179035313481802e-05,8.394668812630398e-06,-5.340579776932028,-0.15908415083785793,0.0029504045839185552
1.0000000001,1e-10,2.9875748278765828e-05,-3.31270628634768,-3.792181737954854,-6.943483874090019,2.1712546153133537e-05,5.1641770056807344e-05,-4.254332420057252,-0.1961462252930322,0.0043255193581342825
1.0000000001,1e-10,1.9805875091839704e-05,-3.288327135587781,-4.033117303480389,-4.518234491463427,6.054538088218617e-05,4.7602511809859396e-05,-1.8619663376582847,-0.18816897501335494,0.003681478261349701
1e-10,1e-10,0.0002591773980690664,-3.0172664197025987,-2.256014531786383,-5.199944992316748,3.623742392454012e-05,7.409047124094942e-07,-3.646783790975171,-0.14899191950153,0.002593571003267638
1.0000000001,1e-10,2.6524684199673682e-05,-3.3003305737034565,-3.973850163619364,-8.192120100894739,9.034474146476254e-06,3.7359128277232924e-05,-5.538693575609215,-0.17329713715143602,0.003516116358121228
1.0000000001,1e-10,3.222732914142789e-05,-3.2873897408049326,-3.8000269328095126,-7.32960519768804,1.5822733173662832e-05,3.2083064135584055e-05,-4.846951889357393,-0.19363222556907506,0.003942576003289395
1.0000000001,1e-10,8.567632866864652e-05,-4.619027345238267,-3.9855168337824467,-7.317218096623818,1.931669002589122e-05,9.105329806779085e-06,-5.476088102922341,-0.19363222556907506,0.003942576003289395
1.0000000001,1e-10,0.00020117997985257484,-3.1922653355951893,-3.672038635168312,-6.9277407715615755,1.492428712594696e-05,1.2323386646614151e-06,-5.235680199059511,-0.15622165851700343,0.002845965487142677
1.0000000001,1e-10,0.00010253393015276695,-4.451661778682864,-3.736285614716845,-8.010462835283839,1.2777999345292384e-05,8.185489676820565e-06,-4.629167259015279,-0.19866656114396852,0.003929521116192412
1.0000000001,1e-10,5.295654380034029e-05,-4.292168681255142,-3.849181914744262,-8.988624312951293,8.535337453300772e-06,2.131170881038953e-05,-5.258766218654962,-0.21415640962986773,0.00425589329361703
1e-10,1e-10,5.539284386407378e-05,-3.3082643079315974,-4.117278995911552,-4.143979763683496,7.462103562973479e-05,1.8888336551422344e-05,-2.382889208135723,-0.18431715196670714,0.0036858298903820297
1.0000000001,1e-10,0.00012418172779662067,-3.254034424957796,-3.8412457672236795,-7.220798274319955,9.583524508969287e-06,7.628274165991709e-07,-5.747197612452222,-0.14181407465540344,0.0022019243903580957
1.0000000001,1e-10,5.8737299431652755e-05,-3.1864966686591507,-4.22348706878295,-7.073400657727095,1.0382143218050061e-05,2.0261232455292947e-06,-5.455199615468857,-0.14181407465540344,0.0022019243903580957
1.0000000001,1e-10,0.00027849856629156064,-3.77260877703229,-3.5558030745532183,-7.225066084960873,9.533610839651738e-06,2.6317245027612124e-07,-6.033726936628609,-0.14181407465540344,0.0022019243903580957
1.0000000001,1e-10,2.6823248666022463e-05,-3.2720960193193798,-3.9634196719525705,-5.686704505861257,2.9648819574623728e-05,2.3598064168171234e-05,-3.2669152770694474,-0.1601872949098858,0.003046140422629777
1.0000000001,1e-10,0.0003090696436165387,-3.2381331860108156,-3.7338354857015292,-5.506905345462136,3.708595630293844e-05,1.0313805429227112e-06,-5.502827663316786,-0.1757604683710136,0.0029242948097245856
1.0000000001,1e-10,1.5397075019333463e-05,-3.2940609154709213,-4.865370527754298,-7.536826099802195,9.533610839651738e-06,9.828779045038418e-06,-5.450044965000486,-0.13382698416592198,0.0019799913097093545
1e-10,1e-10,7.81885958527603e-05,-3.1718961823964364,-3.06645551506697,-4.667056621866893,5.565384128906643e-05,1.0407903814049046e-05,-2.4973865989592468,-0.20165335256562125,0.003546577761347526
1.0000000001,1e-10,1.6120618115433754e-05,-3.2727060848852925,-4.264904918752862,-7.369669073309936,1.1280589265765932e-05,2.8422885981915935e-05,-4.699453790997611,-0.15622165851700343,0.0028546687452073337
1.0000000001,1e-10,5.3839015099262895e-05,-4.362139614386376,-5.6120022615999305,-7.926713915245867,9.668287746809117e-05,6.269079952239653e-06,-6.493643339974972,-0.15622165851700343,0.0028546687452073337
1.0000000001,1e-10,2.4570741812676926e-05,-4.712305047105866,-3.805529455164993,-11.104042729710319,2.346042457924773e-06,5.641543889410946e-05,-6.947716109164206,-0.21415640962986773,0.00425589329361703
1.0000000001,1e-10,8.735986701000543e-05,-3.1170114040772625,-4.025877500663967,-6.309221048415972,1.2827913014609931e-05,5.317255765996617e-07,-4.848359349107336,-0.11423938751465472,0.001583993067767484
1.0000000001,1e-10,4.872079845414041e-05,-3.2368266770045637,-3.4823599434353474,-6.313222625581395,2.6104949053077794e-05,2.296230574667061e-05,-3.7124241469430537,-0.19660399595787129,0.003829433648448862
